Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Posture
2023-10-02 02:22:57,-1.0009,-0.0585,-0.1261,0.73,-1.83,0.31,77.95,-42.55,113.04,sitting
2023-10-02 02:22:58,-1.0026,-0.0569,-0.1263,0.73,-1.59,0.24,78.76,-42.26,112.76,sitting
2023-10-02 02:22:58,-1.0005,-0.0575,-0.1249,0.67,-1.83,0.24,78.41,-42.16,112.74,sitting
2023-10-02 02:22:58,-1.0024,-0.0577,-0.1254,0.67,-1.83,0.24,77.38,-42.46,111.76,sitting
2023-10-02 02:22:58,-1.0018,-0.0577,-0.1251,0.73,-1.71,0.18,77.28,-41.7,110.82,sitting
2023-10-02 02:22:58,-1.0002,-0.0569,-0.1252,0.43,-1.53,0.18,78.1,-42.5,111.51,sitting
2023-10-02 02:22:58,-1.0023,-0.0575,-0.1254,0.67,-1.53,0.24,77.93,-42.61,112.02,sitting
2023-10-02 02:22:58,-1.0006,-0.0575,-0.1257,0.67,-1.59,0.18,77.44,-42.82,112.54,sitting
2023-10-02 02:22:58,-1.0011,-0.0574,-0.1255,0.43,-1.53,0.37,77.82,-42.44,111.89,sitting
2023-10-02 02:22:58,-1.002,-0.0581,-0.1262,0.67,-1.34,0.24,77.86,-42.19,112.84,sitting
2023-10-02 02:22:58,-1.0009,-0.0576,-0.125,0.79,-1.71,0.24,77.66,-42.47,112.44,sitting
2023-10-02 02:22:59,-1.001,-0.0573,-0.1262,0.79,-1.71,0.24,77.81,-42.05,110.67,sitting
2023-10-02 02:22:59,-1.0002,-0.057,-0.1262,0.85,-1.65,0.06,78.03,-42.46,111.9,sitting
2023-10-02 02:22:59,-1.0012,-0.0569,-0.1261,0.67,-1.28,0.31,77.49,-42.29,112.49,sitting
2023-10-02 02:22:59,-1.0017,-0.0569,-0.1259,0.61,-1.4,0.31,77.23,-42.36,110.94,sitting
2023-10-02 02:22:59,-1.0013,-0.0568,-0.1265,0.67,-1.46,0.31,77.95,-42.02,111.69,sitting
2023-10-02 02:22:59,-1.001,-0.0565,-0.1255,0.73,-1.59,0.31,77.48,-42.4,112.18,sitting
2023-10-02 02:22:59,-1.0028,-0.0565,-0.1259,0.73,-1.59,0.31,76.86,-42.58,112.04,sitting
2023-10-02 02:22:59,-1.0011,-0.057,-0.126,0.67,-1.53,0.24,77.95,-42.19,111.12,sitting
2023-10-02 02:22:59,-1.0018,-0.0565,-0.1259,0.67,-1.53,0.31,77.48,-41.81,111.24,sitting
2023-10-02 02:23:00,-1.0005,-0.0573,-0.1254,0.55,-1.4,0.31,77.37,-42.37,112.51,sitting
2023-10-02 02:23:00,-1.0007,-0.058,-0.1259,0.67,-1.71,0.06,77.17,-42.11,112.19,sitting
2023-10-02 02:23:00,-1.0,-0.0573,-0.1259,0.61,-1.53,0.18,78.03,-42.22,111.29,sitting
2023-10-02 02:23:00,-1.0012,-0.0568,-0.1251,0.85,-1.65,0.12,77.54,-42.92,110.8,sitting
2023-10-02 02:23:00,-1.0009,-0.0571,-0.1255,0.79,-1.77,0.12,76.94,-41.88,112.02,sitting
2023-10-02 02:23:00,-1.0012,-0.0573,-0.1267,0.67,-1.53,0.37,78.09,-42.25,111.5,sitting
2023-10-02 02:23:00,-1.0013,-0.0577,-0.1277,0.61,-1.71,0.24,77.5,-42.14,110.97,sitting
2023-10-02 02:23:00,-1.0013,-0.0579,-0.1254,0.43,-1.46,0.31,77.6,-42.32,113.21,sitting
2023-10-02 02:23:00,-1.0021,-0.0574,-0.126,0.61,-1.77,0.24,78.38,-41.96,110.99,sitting
2023-10-02 02:23:01,-1.0017,-0.0576,-0.1263,0.49,-1.4,0.06,77.98,-41.58,111.44,sitting
2023-10-02 02:23:01,-1.0011,-0.0577,-0.1267,0.55,-1.46,0.31,77.16,-42.4,112.51,sitting
2023-10-02 02:23:01,-1.0,-0.0571,-0.1263,0.61,-1.59,0.31,76.9,-41.56,111.94,sitting
2023-10-02 02:23:01,-1.0016,-0.0571,-0.1274,0.85,-1.46,0.18,77.29,-41.52,111.58,sitting
2023-10-02 02:23:01,-1.0005,-0.057,-0.1281,0.67,-1.53,0.37,77.5,-41.63,112.83,sitting
